SID, PID ,SubClass,LotArea,LandContour,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,BsmtQual,BsmtCond,TotalBsmtSF,Heating,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,GrLivArea,GarageCars,GarageArea,YrSold,SaleType, SalePrice , living_area,total_area_,ratio_living_to_totalLivingToTotal,ratio_lot_to_living,prie_per_leaving_sf,price_per_total_sf
2,"$526,350,040.00 ",20,11622,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1961,1961,TA,TA,882,GasA,Y,SBrkr,896,0,896,1,730,2010,WD ,"105,000",896,"1,778",0.503937008,12.97,$117.19 ,$59.06 
29,"$527,427,230.00 ",120,5858,Lvl,AllPub,NAmes,TwnhsE,1Story,7,5,1999,1999,Gd,TA,1405,GasA,Y,SBrkr,1337,0,1337,2,511,2010,WD ,"184,000","1,337","2,742",0.487600292,4.38,$137.62 ,$67.10 
83,"$531,477,050.00 ",30,9800,Lvl,AllPub,SawyerW,1Fam,1Story,5,5,1920,1950,TA,TA,816,GasA,N,FuseA,1012,0,1012,1,429,2010,WD ,"67,500","1,012","1,828",0.553610503,9.68,$66.70 ,$36.93 
215,"$904,352,190.00 ",190,6048,Lvl,AllPub,SWISU,2fmCon,1.5Fin,5,7,1910,1950,TA,TA,856,GasA,Y,SBrkr,936,744,1680,2,450,2010,COD,"114,900","1,680","2,536",0.662460568,3.6,$68.39 ,$45.31 
291,"$909,177,100.00 ",90,7200,Lvl,AllPub,SWISU,Duplex,2Story,4,6,1967,1967,NA,NA,0,GasA,Y,SBrkr,862,1788,2650,0,0,2010,WD ,"160,000","2,650","2,650",1,2.72,$60.38 ,$60.38 
553,"$531,477,020.00 ",20,8400,Lvl,AllPub,SawyerW,1Fam,1Story,4,4,1950,1950,TA,Fa,721,GasA,Y,SBrkr,841,0,841,1,294,2009,WD ,"82,000",841,"1,562",0.538412292,9.99,$97.50 ,$52.50 
554,"$531,479,020.00 ",45,9000,Lvl,AllPub,SawyerW,1Fam,1.5Unf,6,3,1928,1950,Fa,Fa,784,GasA,N,FuseA,784,0,784,2,360,2009,WD ,"76,000",784,"1,568",0.5,11.48,$96.94 ,$48.47 
767,"$904,351,200.00 ",70,6629,Lvl,AllPub,Edwards,1Fam,2Story,6,6,1925,1950,TA,TA,672,GasA,N,SBrkr,697,672,1369,1,300,2009,WD ,"103,600","1,369","2,041",0.670749633,4.84,$75.68 ,$50.76 
1517,"$909,131,170.00 ",70,12155,Lvl,AllPub,SWISU,1Fam,2Story,6,8,1925,1950,TA,TA,672,GasA,N,SBrkr,810,672,1482,1,400,2008,WD ,"140,000","1,482","2,154",0.688022284,8.2,$94.47 ,$65.00 
1673,"$527,427,090.00 ",120,4058,Lvl,AllPub,NAmes,TwnhsE,SFoyer,7,5,1998,1998,Gd,TA,723,GasA,Y,SBrkr,767,0,767,1,367,2007,WD ,"133,000",767,"1,490",0.514765101,5.29,$173.40 ,$89.26 
1674,"$527,427,160.00 ",120,4113,Lvl,AllPub,NAmes,TwnhsE,1Story,6,5,2001,2001,Gd,TA,1337,GasA,Y,SBrkr,1337,0,1337,2,511,2007,WD ,"155,000","1,337","2,674",0.5,3.08,$115.93 ,$57.97 
1675,"$527,427,200.00 ",120,10943,Lvl,AllPub,NAmes,TwnhsE,1Story,6,5,1997,1998,Gd,TA,1405,GasA,Y,SBrkr,1337,0,1337,2,522,2007,WD ,"177,000","1,337","2,742",0.487600292,8.18,$132.39 ,$64.55 
1818,"$531,477,040.00 ",90,8400,Lvl,AllPub,SawyerW,Duplex,1Story,5,5,1977,1977,NA,NA,0,GasA,Y,SBrkr,2020,0,2020,2,630,2007,WD ,"144,000","2,020","2,020",1,4.16,$71.29 ,$71.29 
2188,"$908,226,180.00 ",30,4270,Bnk,AllPub,Edwards,1Fam,1Story,3,6,1931,2006,TA,TA,544,GasA,Y,SBrkr,774,0,774,0,0,2007,WD ,"79,000",774,"1,318",0.587253414,5.52,$102.07 ,$59.94 
2210,"$909,275,020.00 ",90,7136,HLS,AllPub,Crawfor,Duplex,2Story,6,6,1946,1950,Gd,TA,979,GasA,N,FuseF,979,979,1958,2,492,2007,WD ,"145,000","1,958","2,937",0.666666667,3.64,$74.06 ,$49.37 
2211,"$909,275,030.00 ",90,6270,HLS,AllPub,Crawfor,Duplex,2Story,5,6,1949,1950,TA,TA,1001,GasA,N,FuseA,1001,1001,2002,3,871,2007,WD ,"145,000","2,002","3,003",0.666666667,3.13,$72.43 ,$48.29 
2364,"$527,427,210.00 ",120,8773,Lvl,AllPub,NAmes,TwnhsE,1Story,6,5,2002,2002,Gd,TA,1487,GasA,Y,SBrkr,1419,0,1419,2,543,2006,WD ,"190,000","1,419","2,906",0.488300069,6.18,$133.90 ,$65.38 
2484,"$531,478,010.00 ",20,8900,Lvl,AllPub,SawyerW,1Fam,1Story,4,4,1966,1966,TA,TA,1056,GasA,Y,SBrkr,1056,0,1056,1,384,2006,WD ,"107,000","1,056","2,112",0.5,8.43,$101.33 ,$50.66 
2789,"$907,230,240.00 ",160,3612,Lvl,AllPub,Landmrk,Twnhs,2Story,6,5,1993,1994,Gd,TA,630,GasA,Y,SBrkr,630,690,1320,2,484,2006,WD ,"137,000","1,320","1,950",0.676923077,2.74,$103.79 ,$70.26 
2846,"$909,131,125.00 ",190,7082,Lvl,AllPub,SWISU,2fmCon,2Story,5,8,1916,1995,TA,TA,686,GasA,Y,SBrkr,948,980,1928,0,0,2006,WD ,"160,000","1,928","2,614",0.737566947,3.67,$82.99 ,$61.21 
1,"$526,301,100.00 ",20,31770,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1960,1960,TA,Gd,1080,GasA,Y,SBrkr,1656,0,1656,2,528,2010,WD ,"215,000","1,656","2,736",0.605263158,19.18,$129.83 ,$78.58 
3,"$526,351,010.00 ",20,14267,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1958,1958,TA,TA,1329,GasA,Y,SBrkr,1329,0,1329,1,312,2010,WD ,"172,000","1,329","2,658",0.5,10.74,$129.42 ,$64.71 
4,"$526,353,030.00 ",20,11160,Lvl,AllPub,NAmes,1Fam,1Story,7,5,1968,1968,TA,TA,2110,GasA,Y,SBrkr,2110,0,2110,2,522,2010,WD ,"244,000","2,110","4,220",0.5,5.29,$115.64 ,$57.82 
5,"$527,105,010.00 ",60,13830,Lvl,AllPub,Gilbert,1Fam,2Story,5,5,1997,1998,Gd,TA,928,GasA,Y,SBrkr,928,701,1629,2,482,2010,WD ,"189,900","1,629","2,557",0.637074697,8.49,$116.57 ,$74.27 
6,"$527,105,030.00 ",60,9978,Lvl,AllPub,Gilbert,1Fam,2Story,6,6,1998,1998,TA,TA,926,GasA,Y,SBrkr,926,678,1604,2,470,2010,WD ,"195,500","1,604","2,530",0.633992095,6.22,$121.88 ,$77.27 
7,"$527,127,150.00 ",120,4920,Lvl,AllPub,StoneBr,TwnhsE,1Story,8,5,2001,2001,Gd,TA,1338,GasA,Y,SBrkr,1338,0,1338,2,582,2010,WD ,"213,500","1,338","2,676",0.5,3.68,$159.57 ,$79.78 
8,"$527,145,080.00 ",120,5005,HLS,AllPub,StoneBr,TwnhsE,1Story,8,5,1992,1992,Gd,TA,1280,GasA,Y,SBrkr,1280,0,1280,2,506,2010,WD ,"191,500","1,280","2,560",0.5,3.91,$149.61 ,$74.80 
9,"$527,146,030.00 ",120,5389,Lvl,AllPub,StoneBr,TwnhsE,1Story,8,5,1995,1996,Gd,TA,1595,GasA,Y,SBrkr,1616,0,1616,2,608,2010,WD ,"236,500","1,616","3,211",0.503270009,3.33,$146.35 ,$73.65 
10,"$527,162,130.00 ",60,7500,Lvl,AllPub,Gilbert,1Fam,2Story,7,5,1999,1999,TA,TA,994,GasA,Y,SBrkr,1028,776,1804,2,442,2010,WD ,"189,000","1,804","2,798",0.644746247,4.16,$104.77 ,$67.55 
11,"$527,163,010.00 ",60,10000,Lvl,AllPub,Gilbert,1Fam,2Story,6,5,1993,1994,Gd,TA,763,GasA,Y,SBrkr,763,892,1655,2,440,2010,WD ,"175,900","1,655","2,418",0.684449959,6.04,$106.28 ,$72.75 
12,"$527,165,230.00 ",20,7980,Lvl,AllPub,Gilbert,1Fam,1Story,6,7,1992,2007,Gd,TA,1168,GasA,Y,SBrkr,1187,0,1187,2,420,2010,WD ,"185,000","1,187","2,355",0.50403397,6.72,$155.86 ,$78.56 
13,"$527,166,040.00 ",60,8402,Lvl,AllPub,Gilbert,1Fam,2Story,6,5,1998,1998,Gd,TA,789,GasA,Y,SBrkr,789,676,1465,2,393,2010,WD ,"180,400","1,465","2,254",0.649955634,5.74,$123.14 ,$80.04 
14,"$527,180,040.00 ",20,10176,Lvl,AllPub,Gilbert,1Fam,1Story,7,5,1990,1990,Gd,TA,1300,GasA,Y,SBrkr,1341,0,1341,2,506,2010,WD ,"171,500","1,341","2,641",0.507762211,7.59,$127.89 ,$64.94 
15,"$527,182,190.00 ",120,6820,Lvl,AllPub,StoneBr,TwnhsE,1Story,8,5,1985,1985,Gd,TA,1488,GasA,Y,SBrkr,1502,0,1502,2,528,2010,WD ,"212,000","1,502","2,990",0.502341137,4.54,$141.15 ,$70.90 
16,"$527,216,070.00 ",60,53504,HLS,AllPub,StoneBr,1Fam,2Story,8,5,2003,2003,Gd,TA,1650,GasA,Y,SBrkr,1690,1589,3279,3,841,2010,WD ,"538,000","3,279","4,929",0.6652465,16.32,$164.07 ,$109.15 
17,"$527,225,035.00 ",50,12134,Bnk,AllPub,Gilbert,1Fam,1.5Fin,8,7,1988,2005,Gd,TA,559,GasA,Y,SBrkr,1080,672,1752,2,492,2010,WD ,"164,000","1,752","2,311",0.758113371,6.93,$93.61 ,$70.96 
19,"$527,276,150.00 ",20,19138,Lvl,AllPub,Gilbert,1Fam,1Story,4,5,1951,1951,TA,TA,864,GasA,Y,SBrkr,864,0,864,2,400,2010,WD ,"141,000",864,"1,728",0.5,22.15,$163.19 ,$81.60 
20,"$527,302,110.00 ",20,13175,Lvl,AllPub,NWAmes,1Fam,1Story,6,6,1978,1988,Gd,TA,1542,GasA,Y,SBrkr,2073,0,2073,2,500,2010,WD ,"210,000","2,073","3,615",0.573443983,6.36,$101.30 ,$58.09 
21,"$527,358,140.00 ",20,11751,Lvl,AllPub,NWAmes,1Fam,1Story,6,6,1977,1977,Gd,TA,1844,GasA,Y,SBrkr,1844,0,1844,2,546,2010,COD,"190,000","1,844","3,688",0.5,6.37,$103.04 ,$51.52 
24,"$527,402,200.00 ",20,11241,Lvl,AllPub,NAmes,1Fam,1Story,6,7,1970,1970,TA,TA,1004,GasA,Y,SBrkr,1004,0,1004,2,480,2010,WD ,"149,000","1,004","2,008",0.5,11.2,$148.41 ,$74.20 
25,"$527,402,250.00 ",20,12537,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1971,2008,TA,TA,1078,GasA,Y,SBrkr,1078,0,1078,2,500,2010,WD ,"149,900","1,078","2,156",0.5,11.63,$139.05 ,$69.53 
26,"$527,403,020.00 ",20,8450,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1968,1968,TA,TA,1056,GasA,Y,SBrkr,1056,0,1056,1,304,2010,WD ,"142,000","1,056","2,112",0.5,8,$134.47 ,$67.23 
27,"$527,404,120.00 ",20,8400,Lvl,AllPub,NAmes,1Fam,1Story,4,5,1970,1970,TA,TA,882,GasA,Y,SBrkr,882,0,882,2,525,2010,WD ,"126,000",882,"1,764",0.5,9.52,$142.86 ,$71.43 
28,"$527,425,090.00 ",20,10500,Lvl,AllPub,NAmes,1Fam,1Story,4,5,1971,1971,TA,TA,864,GasA,Y,SBrkr,864,0,864,0,0,2010,ConLI,"115,000",864,"1,728",0.5,12.15,$133.10 ,$66.55 
33,"$527,452,190.00 ",120,4043,Lvl,AllPub,NPkVill,TwnhsE,1Story,6,5,1977,1977,Gd,TA,1069,GasA,Y,SBrkr,1069,0,1069,2,440,2010,WD ,"127,500","1,069","2,138",0.5,3.78,$119.27 ,$59.64 
34,"$527,453,130.00 ",160,2280,Lvl,AllPub,NPkVill,Twnhs,2Story,6,6,1975,1975,TA,TA,855,GasA,Y,SBrkr,855,601,1456,2,440,2010,WD ,"149,900","1,456","2,311",0.63003029,1.57,$102.95 ,$64.86 
35,"$527,453,150.00 ",120,2280,Lvl,AllPub,NPkVill,Twnhs,1Story,7,6,1975,1975,Gd,TA,836,GasA,Y,SBrkr,836,0,836,1,308,2010,WD ,"120,000",836,"1,672",0.5,2.73,$143.54 ,$71.77 
36,"$527,454,200.00 ",160,2280,Lvl,AllPub,NPkVill,Twnhs,2Story,6,5,1978,1978,Gd,TA,855,GasA,Y,SBrkr,855,601,1456,2,440,2010,WD ,"146,000","1,456","2,311",0.63003029,1.57,$100.27 ,$63.18 
